dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.3,"('12_AP_050', '12_AP_030')",0.4136033469659801
BPIC15,AggregateType.AVG,0.3,"('12_AP_030', '12_AP_060')",1.263116707392438
BPIC15,AggregateType.AVG,0.3,"('12_AP_055', '05_EIND_020')",0.26762951421982617
BPIC15,AggregateType.AVG,0.3,"('05_EIND_030_2', '01_HOOFD_810')",0.03883510426838325
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_050', '01_HOOFD_055')",0.0070589145422052
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_030_1', '01_HOOFD_040')",0.0024320598465604583
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_040', '01_HOOFD_060')",0.0027066672719704356
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_060', '01_HOOFD_065_1')",0.007338740713283652
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_110', '01_HOOFD_120')",0.0008556873340119417
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_120', '01_HOOFD_180')",0.002391121029973607
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_030', '08_AWB45_170')",0.018115304007826138
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_170', '01_HOOFD_130')",0.004036224666097136
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_200', '01_HOOFD_205')",0.002411919028604474
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_205', '01_HOOFD_270')",0.007745095398301991
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_270', '01_HOOFD_250')",0.0003284172990339401
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_250', '01_HOOFD_260')",0.0025434609681283904
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_430', '01_HOOFD_470')",0.0034129176611378733
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_470', '01_HOOFD_480')",0.005871341041359162
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_520', '01_HOOFD_530')",0.0021260915196080533
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_065_2', '01_HOOFD_065_1')",0.003311762050760919
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_100', '01_HOOFD_110')",0.0011864743750881325
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_375', '01_HOOFD_380')",0.0004015027858799482
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_065_1', '01_HOOFD_100')",0.01967147848733499
BPIC15,AggregateType.AVG,0.3,"('06_VD_010', '06_VD_020_1')",0.04577083436943852
BPIC15,AggregateType.AVG,0.3,"('06_VD_020_1', '06_VD_030')",0.006879821011140387
BPIC15,AggregateType.AVG,0.3,"('06_VD_030', '06_VD_040')",0.03842721172475842
BPIC15,AggregateType.AVG,0.3,"('06_VD_040', '06_VD_050')",0.08924132633132942
BPIC15,AggregateType.AVG,0.3,"('06_VD_050', '06_VD_060')",0.0726688401904477
BPIC15,AggregateType.AVG,0.3,"('05_EIND_030_2', '05_EIND_050')",0.33868333315906335
BPIC15,AggregateType.AVG,0.3,"('05_EIND_030_1', '05_EIND_040')",0.2934435049670506
BPIC15,AggregateType.AVG,0.3,"('05_EIND_040', '05_EIND_070')",0.07450038420596676
BPIC15,AggregateType.AVG,0.3,"('05_EIND_070', '05_EIND_060')",0.38144074417021057
BPIC15,AggregateType.AVG,0.3,"('01_BB_770', '01_HOOFD_790')",0.029438902229156304
BPIC15,AggregateType.AVG,0.3,"('04_BPT_030', '04_BPT_040')",0.017371966677161624
BPIC15,AggregateType.AVG,0.3,"('04_BPT_060', '01_HOOFD_065_1')",0.03406230481332919
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_065_1', '01_HOOFD_065_2')",0.002998392561011543
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_195_1', '01_HOOFD_200')",0.10188404997176222
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_180', '01_HOOFD_195_1')",0.3574883678343116
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_380', '01_HOOFD_440_1')",0.016004064350006626
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_451', '01_HOOFD_455')",0.03505750112478978
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_465', '10_UOV_010')",0.031182549788643002
BPIC15,AggregateType.AVG,0.3,"('10_UOV_010', '10_UOV_020')",0.11984932237870871
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_460', '10_UOV_050_2')",0.01712520823129034
BPIC15,AggregateType.AVG,0.3,"('06_VD_020_2', '06_VD_070')",0.04708320493904575
BPIC15,AggregateType.AVG,0.3,"('06_VD_100', '06_VD_140')",0.10108137929723984
BPIC15,AggregateType.AVG,0.3,"('06_VD_140', '01_HOOFD_490_1')",0.6986549873346334
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_380', '01_HOOFD_390')",0.07246630553143674
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_390', '01_HOOFD_400')",0.4378397927357658
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_410_1', '01_HOOFD_420')",0.33390984577499605
BPIC15,AggregateType.AVG,0.3,"('06_VD_060', '06_VD_100')",0.1648353386565141
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_060', '08_AWB45_070_1')",0.02561323340517325
BPIC15,AggregateType.AVG,0.3,"('04_BPT_005', '04_BPT_010')",0.015894514709500047
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_260', '01_HOOFD_330')",0.0003790468355869649
BPIC15,AggregateType.AVG,0.3,"('10_UOV_060', '10_UOV_180')",0.06417989637673292
BPIC15,AggregateType.AVG,0.3,"('10_UOV_180', '10_UOV_190')",0.5422530541683837
BPIC15,AggregateType.AVG,0.3,"('10_UOV_190', '10_UOV_200')",1.078956824074095
BPIC15,AggregateType.AVG,0.3,"('10_UOV_200', '10_UOV_210')",0.10772985765779075
BPIC15,AggregateType.AVG,0.3,"('02_DRZ_020_2', '02_DRZ_010_2')",0.09032422939868034
BPIC15,AggregateType.AVG,0.3,"('02_DRZ_010_2', '01_HOOFD_030_2')",1.1329712626113704
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_040', '02_DRZ_010_1')",0.6164078594569364
BPIC15,AggregateType.AVG,0.3,"('02_DRZ_010_1', '02_DRZ_020_1')",0.395766843854918
BPIC15,AggregateType.AVG,0.3,"('02_DRZ_020_1', '02_DRZ_030')",0.017267009393069133
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_070_1', '08_AWB45_070_2')",0.022738597000964943
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_070_2', '08_AWB45_080')",0.6886398777955657
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_080', '08_AWB45_090_1')",0.5476280021663683
BPIC15,AggregateType.AVG,0.3,"('06_VD_020', '06_VD_030_1')",0.019616123425163157
BPIC15,AggregateType.AVG,0.3,"('06_VD_030_1', '06_VD_030_3')",0.0014478141350798075
BPIC15,AggregateType.AVG,0.3,"('03_GBH_005', '05_EIND_010')",0.004229890712945597
BPIC15,AggregateType.AVG,0.3,"('10_UOV_020', '10_UOV_045')",0.16310992841858285
BPIC15,AggregateType.AVG,0.3,"('10_UOV_045', '10_UOV_040')",0.019750592371687324
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_195_2', '01_HOOFD_065_2')",0.04736139125905625
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_065_2', '01_HOOFD_195_2')",0.24765445045876552
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_450', '01_HOOFD_451')",0.09492763782186575
BPIC15,AggregateType.AVG,0.3,"('10_UOV_040', '10_UOV_050_1')",0.018259211511364237
BPIC15,AggregateType.AVG,0.3,"('10_UOV_070', '10_UOV_080')",0.0709713604994734
BPIC15,AggregateType.AVG,0.3,"('10_UOV_120', '12_AP_UOV_010')",0.21122618120312728
BPIC15,AggregateType.AVG,0.3,"('10_UOV_170', '01_HOOFD_480')",0.6273472595515166
BPIC15,AggregateType.AVG,0.3,"('01_BB_640', '01_BB_700')",0.010535738530908612
BPIC15,AggregateType.AVG,0.3,"('01_BB_700', '01_BB_730')",0.23260222214434023
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_820', '01_BB_670_2')",0.5905731034567983
BPIC15,AggregateType.AVG,0.3,"('06_VD_070', '06_VD_020_2')",0.2658291121845789
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_030_2', '01_HOOFD_030_1')",0.009313582978127878
BPIC15,AggregateType.AVG,0.3,"('05_EIND_030_1', '05_EIND_030_2')",0.008614633158074389
BPIC15,AggregateType.AVG,0.3,"('09_AWB45_005', '01_HOOFD_195')",0.0038081983748733776
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_065_1', '01_HOOFD_540')",0.0014165240489860634
BPIC15,AggregateType.AVG,0.3,"('10_UOV_050_2', '10_UOV_035')",0.004506076355435258
BPIC15,AggregateType.AVG,0.3,"('10_UOV_035', '10_UOV_030')",0.0006086629063894376
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_180', '01_HOOFD_190')",0.005425870920278537
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_140', '01_HOOFD_150')",0.043627567020108504
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_150', '01_HOOFD_160')",0.18986369726590224
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_160', '01_HOOFD_180')",0.07005124306369866
BPIC15,AggregateType.AVG,0.3,"('06_VD_030_2', '06_VD_070')",0.03881968362304988
BPIC15,AggregateType.AVG,0.3,"('05_EIND_050', '05_EIND_030_2')",0.108126985195598
