dataset,aggregate_type,delta,edge,APE_time
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_350_1', '06_VD_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_065_1', '06_VD_030_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_350_2', '01_HOOFD_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_030_2', '08_AWB45_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_580_2', '08_AWB45_040')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_550', '01_HOOFD_570')",0.0074145237423183154
BPIC15,AggregateType.AVG,0.2,"('07_OPS_070', '07_OPS_080_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('07_OPS_080_2', '08_AWB45_020_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_030_1', '01_HOOFD_790')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_060', '10_UOV_065')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_066', '10_UOV_070')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_210', '10_UOV_120')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_120', '10_UOV_140')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_140', '10_UOV_150')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_150', '10_UOV_160')",0.006802070194648361
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_030_2', '01_HOOFD_060')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_065', '01_HOOFD_820')",0.00228304604091748
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_020', '01_HOOFD_100')",0.0
BPIC15,AggregateType.AVG,0.2,"('07_OPS_010', '01_HOOFD_130')",0.00766658803678851
BPIC15,AggregateType.AVG,0.2,"('10_UOV_180', '10_UOV_190_1')",0.013147247333212894
BPIC15,AggregateType.AVG,0.2,"('10_UOV_190_1', '10_UOV_190_2')",0.00320003810391602
BPIC15,AggregateType.AVG,0.2,"('10_UOV_190_2', '10_UOV_210')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_060', '01_HOOFD_540')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_045', '10_UOV_050_2')",0.00471619405988082
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_180', '01_HOOFD_800')",0.002821601763350773
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_130', '01_HOOFD_140')",0.0033005288975256762
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_200', '01_HOOFD_280_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_280_1', '01_HOOFD_280_2')",0.0035636005904694143
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_280_2', '01_HOOFD_250_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_250_2', '08_AWB45_WAW_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_WAW_010', '01_HOOFD_330')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_030_2', '02_DRZ_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('02_DRZ_010_2', '01_HOOFD_015')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_590', '01_BB_550')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_550', '01_BB_560')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_560', '01_BB_630')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_730', '01_BB_740')",0.0017806723705044991
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_540', '01_HOOFD_205')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_070', '01_HOOFD_600_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_600_2', '01_HOOFD_580_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_540', '01_HOOFD_550')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_570', '01_HOOFD_580_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_580_1', '01_HOOFD_590')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_590', '01_HOOFD_600_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_600_1', '01_HOOFD_130')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_490_3', '10_UOV_180')",0.00012518251961464007
BPIC15,AggregateType.AVG,0.2,"('06_VD_070', '01_HOOFD_065_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_195', '07_OPS_060_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_260', '07_OPS_080_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('07_OPS_080_1', '01_HOOFD_330')",0.0
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_020_2', '01_HOOFD_350_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_260', '01_HOOFD_350_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_470', '11_AH_II_035')",0.0
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_035', '11_AH_II_055')",0.004223344341098488
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_020_1', '11_AH_II_040')",0.003653713307316675
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_070', '11_AH_II_100')",0.026583392606327375
BPIC15,AggregateType.AVG,0.2,"('04_BPT_040', '14_VRIJ_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_101', '03_GBH_005')",0.015490301065177561
BPIC15,AggregateType.AVG,0.2,"('09_AWB45_005', '08_AWB45_010')",0.01789316503204178
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_510_1', '01_HOOFD_491')",0.0
BPIC15,AggregateType.AVG,0.2,"('03_GBH_005', '01_HOOFD_030_1')",0.014474836396271432
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_010', '11_AH_II_020_2')",0.0005835779792050167
BPIC15,AggregateType.AVG,0.2,"('10_UOV_060', '10_UOV_066')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_170', '01_HOOFD_470')",0.0
BPIC15,AggregateType.AVG,0.2,"('15_NGV_010', '01_HOOFD_050')",0.008928779717469087
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_530', '01_HOOFD_505')",0.017793734129736248
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_505', '01_BB_540')",0.012011649288631363
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_120', '14_VRIJ_010')",0.004746246667053808
BPIC15,AggregateType.AVG,0.2,"('05_EIND_070', '01_HOOFD_805')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_010', '01_HOOFD_101')",0.003326265440739672
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_790', '01_HOOFD_020')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_010', '01_HOOFD_101')",0.00024471423702089444
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_101', '15_NGV_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_055', '01_HOOFD_260')",0.0016648282092924167
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_250', '14_VRIJ_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_070', '01_HOOFD_120')",0.0
BPIC15,AggregateType.AVG,0.2,"('04_BPT_010', '01_HOOFD_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_030_1', '05_EIND_070')",0.013514368566691835
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_010', '07_OPS_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_110', '01_HOOFD_110_2')",0.012190827439059799
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_210_1', '01_HOOFD_180')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_090', '05_EIND_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_195', '01_HOOFD_210_1')",0.004801027672684255
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_190', '08_AWB45_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('09_AH_I_010', '09_AH_I_020')",0.0014327219644589167
BPIC15,AggregateType.AVG,0.2,"('09_AH_I_020', '09_AH_I_040')",0.003508032751228995
BPIC15,AggregateType.AVG,0.2,"('09_AH_I_040', '01_HOOFD_370')",0.019157040237387055
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_150', '08_AWB45_180')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_800', '08_AWB45_090_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_805', '01_HOOFD_820')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_060_1', '12_AP_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_011', '12_AP_020_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_020_1', '12_AP_030')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_030', '12_AP_040')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_040', '01_HOOFD_400')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_040', '01_HOOFD_191')",0.0022950646817673595
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_191', '01_HOOFD_192')",0.010512120796554997
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_192', '01_HOOFD_193')",0.005684385639534284
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_110', '14_VRIJ_170')",0.0
BPIC15,AggregateType.AVG,0.2,"('14_VRIJ_170', '08_AWB45_175')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_175', '01_HOOFD_805')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_460', '10_UOV_040')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_050_1', '10_UOV_035')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_030', '01_HOOFD_250_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_051_2', '01_HOOFD_460')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_050', '08_AWB45_051_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_080', '01_HOOFD_490_3')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_490_3', '10_UOV_100')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_630', '01_BB_635')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_635', '01_BB_636')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_636', '01_BB_640')",0.002010495026733025
BPIC15,AggregateType.AVG,0.2,"('01_BB_640', '01_BB_670')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_670', '01_BB_680')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_460', '99_NOCODE_04')",0.0
BPIC15,AggregateType.AVG,0.2,"('99_NOCODE_04', '08_AWB45_030')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_010', '12_AP_UOV_011')",0.0
