dataset,aggregate_type,delta,median_epsilon,MAPE,SMAPE
BPIC15,AggregateType.AVG,0.7,inf,0.00030779142995616753,0.0001532132405572295
BPIC15,AggregateType.AVG,0.8,inf,0.00025183898157190546,0.00012537930890623824
BPIC15,AggregateType.AVG,0.9,inf,0.0002037332827006134,0.00010146499054895174
BPIC15,AggregateType.FREQ,0.01,0.04000133341333913,30.221636439416365,1.3456349965080336
BPIC15,AggregateType.FREQ,0.05,0.20016691711396528,6.172525364657799,0.8482545294664622
BPIC15,AggregateType.FREQ,0.1,0.40134139092430254,3.025014978467701,0.6165152548699172
BPIC15,AggregateType.FREQ,0.2,0.810930216216329,1.5075173468676293,0.4168625493236875
BPIC15,AggregateType.FREQ,0.3,1.2380784168124461,0.9783093914983418,0.31489171134419197
BPIC15,AggregateType.FREQ,0.4,1.6945957207744073,0.7142483650963448,0.2507956164687472
BPIC15,AggregateType.FREQ,0.5,2.197224577336219,0.551400126035004,0.2063146480878763
BPIC15,AggregateType.FREQ,0.6,2.772588722239781,0.44497233044683127,0.17423134749286856
BPIC15,AggregateType.FREQ,0.7,3.4692021107762123,0.35168185957735953,0.14392205619892245
BPIC15,AggregateType.FREQ,0.8,4.394449154672437,0.27824651340928924,0.11794642953172452
BPIC15,AggregateType.FREQ,0.9,5.888877958332883,0.20614567997029826,0.09081684750081526
BPIC15,AggregateType.MAX,0.01,inf,8.873357052113,0.3878569632572214
BPIC15,AggregateType.MAX,0.05,inf,1.8931223295636237,0.2588170400515194
BPIC15,AggregateType.MAX,0.1,inf,0.9593254141494996,0.19590196361696044
BPIC15,AggregateType.MAX,0.2,inf,0.5058494697882956,0.1387859569416766
BPIC15,AggregateType.MAX,0.3,inf,0.33478110870359845,0.10761401253602496
BPIC15,AggregateType.MAX,0.4,inf,0.24816932956784604,0.08684836740511008
BPIC15,AggregateType.MAX,0.5,inf,0.1567955402034039,0.0580924556058847
BPIC15,AggregateType.MAX,0.6,inf,0.11713085557689781,0.045898202208455405
BPIC15,AggregateType.MAX,0.7,inf,0.07649713068235117,0.03119726197058457
BPIC15,AggregateType.MAX,0.8,inf,0.045738248391787965,0.01920868317379347
BPIC15,AggregateType.MAX,0.9,inf,0.022435215513673994,0.009787069839131638
BPIC15,AggregateType.MIN,0.01,inf,1283666.7782725114,0.7356910971991862
BPIC15,AggregateType.MIN,0.05,inf,277645.4281889331,0.5746816615851815
BPIC15,AggregateType.MIN,0.1,inf,144922.99801640018,0.589669018106658
BPIC15,AggregateType.MIN,0.2,inf,85666.7495252115,0.4719808603998132
