dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
Sepsis Cases - Event Log,AggregateType.AVG,0.3,0.008633614896865564,0.0008701544453034307,0.0736671087229037,0.06060039046221877,0.3353788163644307,0.9988933902402549
Sepsis Cases - Event Log,AggregateType.AVG,0.4,0.0064752111726491726,0.0006526158339775728,0.055294146698917086,0.04533864464117576,0.2558450974545741,0.9986441011012843
Sepsis Cases - Event Log,AggregateType.AVG,0.5,0.005180168938119339,0.0005220926671820582,0.04425156408849632,0.035566131282684266,0.206321201755929,0.9937813705315427
Sepsis Cases - Event Log,AggregateType.AVG,0.6,0.004316807448432782,0.00043507722265171534,0.036883662897825534,0.030132803466105473,0.17269022739890405,0.9618470505689156
Sepsis Cases - Event Log,AggregateType.AVG,0.7,0.0037001206700852424,0.00037292333370147026,0.03161837326507531,0.025547184098730365,0.1484141854523198,0.8594596064379697
Sepsis Cases - Event Log,AggregateType.AVG,0.8,0.0032376055863245863,0.0003263079169887864,0.027668238052140248,0.02227120782873826,0.13008734588901147,0.6762483185994933
Sepsis Cases - Event Log,AggregateType.AVG,0.9,0.002877871632288521,0.00029005148176781015,0.024595306814274,0.019804574120429685,0.11577075677355192,0.4746432660283912
Sepsis Cases - Event Log,AggregateType.SUM,0.01,0.25900844690596686,3.0550684927237812,0.9764061253303925,0.8,0.9999999983777382,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.SUM,0.05,0.05180168938119338,0.6110136985447561,0.4159666569454266,0.5967746597790813,0.9700568870335003,0.998699639029319
Sepsis Cases - Event Log,AggregateType.SUM,0.1,0.02590084469059669,0.30550684927237803,0.21785432244132,0.49999999999989475,0.7804925557983173,0.9807691923530628
Sepsis Cases - Event Log,AggregateType.SUM,0.2,0.012950422345298345,0.15275342463618902,0.11025120665538204,0.3326569870968279,0.4802543249647553,0.9793714641984465
Sepsis Cases - Event Log,AggregateType.SUM,0.3,0.008633614896865564,0.10183561642412603,0.0736671087229037,0.24899046898416,0.3353788163644307,0.9364234553046532
Sepsis Cases - Event Log,AggregateType.SUM,0.4,0.0064752111726491726,0.07637671231809451,0.055294146698917086,0.18951472874175374,0.2558450974545741,0.8148228755666389
