dataset,aggregate_type,delta,epsilon_freq,epsilon_time,MAPE_freq,SMAPE_freq,MAPE_time,SMAPE_time
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.8,4.394449154672438,0.004663964196133365,0.0003175071755102654,0.0001586645603783222,0.03869947227867606,0.017340843666771407
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.9,5.888877958332882,0.006197813537956987,0.00015823936226541963,7.908179733791504e-05,0.03394156758333543,0.014291421983969804
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.01,0.040001333413339134,0.0015306071999775617,0.017827512703831334,0.008609841207856229,1.9380176238804157,0.2872254158734039
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.05,0.20016691711396528,0.007677676346536416,0.004309743880394654,0.0021327273412605884,1.43279138259096,0.2355039011041916
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.1,0.4013413909243025,0.01551312643183138,0.0017385046477399572,0.0008673213130581003,0.39842299143216414,0.11698630774926091
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.2,0.8109302162163288,0.03241768174562746,0.0021944874890274186,0.001094642462182159,0.19974206111693377,0.07510637821162765
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.3,1.2380784168124463,0.05063613440749319,0.0014288445528768611,0.0007128631555433105,0.04180258098875648,0.019802844105592556
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.4,1.6945957207744071,0.06364777811962029,0.0006120388030135325,0.00030565678792965096,0.18477771025291928,0.07185427338939696
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.5,2.1972245773362196,0.07712979944701315,0.0005316509419337313,0.00026557100028561814,0.03211375484540692,0.013971854780585083
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.6,2.772588722239781,0.09246422539560821,0.0003999851458568384,0.00019981201300488529,0.06611007458144379,0.027561970661884035
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.7,3.4692021107762123,0.11252083264062274,0.0007713294788705544,0.0003845447573818084,0.016373269715608225,0.007748108103531244
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.8,4.394449154672438,0.14894465267656015,0.000211743866971696,0.00010584740832564861,0.014519620586982595,0.006701416195658336
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.9,5.888877958332882,2.2622019413543,9.75279614675494e-05,4.8755636234636336e-05,0.0012511755078039673,0.0006225540407794865
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.040001333413339134,6.44793365133572e-05,0.6935041122906042,0.18141698970614084,0.7640778710879651,0.19848986242854863
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.20016691711396528,0.0002852495789448822,0.1361006116451895,0.05573339394391191,0.16793021146660736,0.0662922163068352
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.4013413909243025,0.000507370126628187,0.0680187948534043,0.030333569218232822,0.08598819485213345,0.037431321601384585
Sepsis Cases - Event Log,AggregateType.AVG,0.2,0.8109302162163288,0.0008599372572669086,0.03477013711679899,0.016341331455348482,0.04930025600926736,0.02238887904407001
Sepsis Cases - Event Log,AggregateType.AVG,0.3,1.2380784168124463,0.0011548641296884323,0.021994170237595402,0.010564037056532471,0.036127304226595595,0.01658930847072335
Sepsis Cases - Event Log,AggregateType.AVG,0.4,1.6945957207744071,0.0014292573110466769,0.016540605529454196,0.008019219740736777,0.026207008373131245,0.012310450783832676
Sepsis Cases - Event Log,AggregateType.AVG,0.5,2.1972245773362196,0.0017070452679799875,0.01287254575396989,0.006279700319908407,0.022764969987974535,0.010687661129811715
Sepsis Cases - Event Log,AggregateType.AVG,0.6,2.772588722239781,0.002014103180567238,0.009814552343832873,0.0048161497460742116,0.01916740072232619,0.009013226093650918
Sepsis Cases - Event Log,AggregateType.AVG,0.7,3.4692021107762123,0.0023970554356512242,0.008060178271659571,0.003968501371520939,0.016076712358284416,0.00758014689735327
Sepsis Cases - Event Log,AggregateType.AVG,0.8,4.394449154672438,0.002805365527638221,0.006405660368346856,0.0031666412310272568,0.012608354752253756,0.005896563300795885
Sepsis Cases - Event Log,AggregateType.AVG,0.9,5.888877958332882,0.0032799539980066066,0.0046995258069054404,0.0023291241171280548,0.008885476189429172,0.004198025992930779
Sepsis Cases - Event Log,AggregateType.SUM,0.01,0.040001333413339134,0.0015214951874399454,0.7054735007523988,0.1843629970710864,3.362848626901167,0.35227725005029464
Sepsis Cases - Event Log,AggregateType.SUM,0.05,0.20016691711396528,0.007263422782685138,0.14075351438883432,0.0569090646711773,0.6712761295651519,0.1639394058341238
Sepsis Cases - Event Log,AggregateType.SUM,0.1,0.4013413909243025,0.01386049364918749,0.0697808753140624,0.031039216467708797,0.35521891179298115,0.1084392935807817
Sepsis Cases - Event Log,AggregateType.SUM,0.2,0.8109302162163288,0.025952069167802308,0.03375428772629312,0.015893617338393395,0.18680122659213164,0.06813269736992107
Sepsis Cases - Event Log,AggregateType.SUM,0.3,1.2380784168124463,0.0375515313332446,0.023089458421519292,0.011048195713608665,0.12616416799741245,0.04954793979926533
Sepsis Cases - Event Log,AggregateType.SUM,0.4,1.6945957207744071,0.049643106851859395,0.016287038316243826,0.00790240147827327,0.09424801007236824,0.03893749547285716
Sepsis Cases - Event Log,AggregateType.SUM,0.5,2.1972245773362196,0.0635036005010469,0.012773468450579323,0.006232696845615366,0.06282109724876034,0.02709670286028013
